method,loaded_count,stream_count,loaded_len_mean,stream_len_mean,loaded_z_f1,stream_z_f1,stream_length_js,stream_punctuation_js,duplicate_rate
fixed_templates,500,500,12.2360,9.2880,1.0000,0.8493,0.4667,0.4363,0.6260
popular_style,500,500,11.0900,7.7760,0.9930,0.6667,0.1320,0.1881,0.6440
